NAME,LATITUDE,LONGITUDE,CATEGORY,ADDRESS,CITY,PROVINCE,RATING,REVIEWS,NEARBY_MOSQUES,NEARBY_TOILETS,NEARBY_HALAL_FOOD,NEARBY_UMKM,NEARBY_LODGING,MOSQUE_SAMPLES,FOOD_SAMPLES,UMKM_SAMPLES,SOURCE,VENDOR_ID,STATUS
"Makam Syekh Mohammad Sanusi",-7.344895299999999,108.6352228,"umkm","MJ4P+23X, pasir lening, Kec. Langensari, Kota Banjar, Jawa Barat 46324, Indonesia","Jawa Barat 46324","Kota Banjar",4.9,34,2,0,0,0,0,"Musholla; Mushola baiturrohman","","","google","ChIJ61jI49J9by4R0eYYH1LCJAk","PENDING"
"Wisata Alam Ciung Wanara",-7.3473275,108.489208,"tourist_attraction","Jl. Ciamis - Banjar No.1031, Karangkamulyan, Kec. Cijeungjing, Kabupaten Ciamis, Jawa Barat 46271, Indonesia","Jawa Barat 46271","Kabupaten Ciamis",4.4,7429,1,4,0,0,6,"Masjid Al Fatah","","","google","ChIJP-WPqYBhby4Rc2EhRcbCtNI","PENDING"
"Wana Wisata Situ Mustika",-7.362365800000001,108.5459425,"tourist_attraction","JGQW+394, Karangpanimbal, Purwaharja, Banjar City, West Java 46332, Indonesia","West Java 46332","Banjar City",4.1,1028,0,2,14,0,12,"","Dapoer Cemal Cemil Jiemas; Rumh makan Roda Baru khas padang; MAYASI BANJAR","","google","ChIJqbIqgj9iby4RIgXQ7IVm60s","PENDING"
"Situ Leutik",-7.367252000000001,108.4792152,"tourist_attraction","Cibeureum, Banjar, Banjar City, West Java 46313, Indonesia","West Java 46313","Banjar City",4.2,445,0,0,1,0,2,"","Saung Lek Dul","","google","ChIJPUiRrclhby4RrgUwdeWNP4E","PENDING"
"Makam Mbah Kyai haji Abdurrohman",-7.3765538,108.6067612,"mosque","Jl. Pengairan No.132, Bojongkantong, Kec. Langensari, Kota Banjar, Jawa Barat 46325, Indonesia","Jawa Barat 46325","Kota Banjar",4.8,4,6,0,0,0,0,"MUSHOLA AL-IKHLAS; Mushola Darul Falah; Al Ikhlas Mosque","","","google","ChIJU8lnc11jby4RiN00lLcfTnA","PENDING"
"WISATA RELIGI MAKAM KASEPUHAN AL MAGHFURLAH SIMBAH KYAI NURHADI DESA PURWAJAYA KECAMATAN PURWADADI KABUPATEN CIAMIS",-7.4614838,108.6797522,"tourist_attraction","Komplek PPTQ AL HADI. Jl. Lakbok - Sidareja, Purwajaya, Kec. Purwadadi, Jawa, Barat, Kabupaten Ciamis, Jawa Barat 46385, Indonesia","Jawa Barat 46385","Kabupaten Ciamis",5,1,2,0,0,0,0,"Mushola Darunnajah; Mushola Al-Amin","","","google","ChIJUYDVjT6HZS4RWiIO7gwTdgU","PENDING"
"Pulo Majeti Heritage Site",-7.342803199999999,108.5537132,"tourist_attraction","MH43+VFG, Jl. Pulo Majeti, Purwaharja, Kec. Purwaharja, Kota Banjar, Jawa Barat 46331, Indonesia","Jawa Barat 46331","Kota Banjar",4.4,124,0,0,0,0,12,"","","","google","ChIJJeOlQLNjby4R3Bb1n2wZdgw","PENDING"
"Situs Budaya Rancawati",-7.3490644,108.6275772,"umkm","MJ2H+92G, Langensari, Banjar City, West Java 46344, Indonesia","West Java 46344","Banjar City",5,2,2,0,1,0,0,"MASJID AL-IKHLAS; Musholla Al Amanah","Resto Ndeso88","","google","ChIJrQysjrh9by4RnpYd3DWYcrM","PENDING"
"Puncak Pagerbatu",-7.403086600000001,108.5597444,"tourist_attraction","Unnamed Road, HHW5+QV9, Batulawang, Kec. Pataruman, Kota Banjar, Jawa Barat 46326, Indonesia","Jawa Barat 46326","Kota Banjar",4.6,109,0,0,0,0,11,"","","","google","ChIJtXk0XsiJZS4RfKLRA2IDF1k","PENDING"
"Gunung Sembung/Wisata Religi",-7.257333500000001,108.2941182,"tourist_attraction","Puncak Gunung Sembung, Palasari, P7VV+3J9 By :Arid Ridwan, Nasol, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261, Indonesia","Jawa Barat 46261","Kabupaten Ciamis",0,0,0,0,0,0,0,"","","","google","ChIJzzTIZwBbby4RvRDKJBhFsVA","PENDING"
"Situs Karangkamulyan",-7.3472367,108.4887487,"tourist_attraction","MF3Q+4F5, Jl. Nasional III, Karangkamulyan, Kec. Cijeungjing, Kabupaten Ciamis, Jawa Barat 46271, Indonesia","Jawa Barat 46271","Kabupaten Ciamis",4.4,169,1,4,0,0,6,"Masjid Al Fatah","","","google","ChIJq6qqqp9hby4Rsxw3TVvCg50","PENDING"
"Taman Makam Pahlawan Kusuma Bangsa",-7.377834999999999,108.511517,"umkm","JGC6+VJ6, Jl. Manonjaya - Banjar, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46312, Indonesia","Jawa Barat 46312","Kota Banjar",0,0,0,0,1,0,12,"","Makanan Kuliner","","google","ChIJWReZ4Hdhby4R0Eg_n1Ue4rc","PENDING"
"Ecopark Kota Banjar",-7.370258499999999,108.5445437,"tourist_attraction","JGHV+VRV, Hegarsari, Pataruman, Banjar City, West Java 46322, Indonesia","West Java 46322","Banjar City",4.5,152,2,2,20,0,12,"Mushola Al Muzzammil; Masjid Nurul Iman","Dapur Moza; Dapoer Cemal Cemil Jiemas; Rumh makan Roda Baru khas padang","","google","ChIJUaXNBzVjby4Ry465OvChT8c","PENDING"
"Wisata RELIGI",-7.134436099999999,108.2679151,"mosque","V789+65F, Panjalu, Ciamis Regency, West Java 46264, Indonesia","West Java 46264","Ciamis Regency",0,0,6,0,0,0,5,"Masjid Agung Panjalu; Masjid al-falah; Masjid Raya Situ Panjalu","","","google","ChIJoxhqHSdHby4R1wKPoK6ky8k","PENDING"
"TPU Kokoplak",-7.36391,108.5744288,"umkm","JHPF+CQM, Sinartanjung, Pataruman, Banjar City, West Java 46335, Indonesia","West Java 46335","Banjar City",4.8,5,2,0,2,0,11,"Mushola; Musholla Al Mujahidin","Rumah Makan Khas Sunda Saung Oemah; Warung Pecel Bu Giyo","","google","ChIJBV0LNotiby4RsN1K1qJtBOo","PENDING"
"Wisata Religi Ciwanda",-6.9955749,108.193271,"tourist_attraction","Mananti, Margajaya, Kec. Lemahsugih, Kabupaten Majalengka, Jawa Barat 45465, Indonesia","Jawa Barat 45465","Kabupaten Majalengka",5,2,0,0,0,0,0,"","","","google","ChIJn_b3K5M3by4RqyIbpKeSQaE","PENDING"
